name,address,lat,lon
Camisola Bar,"R. Luther King, 242 , Cidade Nova, Belo Horizonte - MG, 31170-100",-19.8926606,-43.9246059
Cantina Arte Quintal,"R. Realengo, 150 , Caiçara, Belo Horizonte - MG, 30750-430",-19.9014096,-43.9756523
Cantinho da Baiana,"R. Itaité, 422 , São Geraldo, Belo Horizonte - MG, 31050-550",-19.898576,-43.9006901
Casa Mojubá,"Rua Mármore, 817 , Belo Horizonte - MG, 31010-220",-19.9162948,-43.9182816
Chapa Mágica,"Av. Waldomiro Lobo, 305 , Guarani, Belo Horizonte - MG, 31814-620",-19.8444932,-43.9231461
Choperia América Norte Sul,"R. Chico Rei, 190 , Estrela do Oriente, Belo Horizonte - MG, 30580-300",-19.9615872,-43.9847596
Chopp da Esquina,"R. Garret, 263 , Nova Granada, Belo Horizonte - MG, 30431-355",-19.9432796,-43.9684262
Cipoeiro Bar,"Rua Desembargador José Satyro, 451 , Belo Horizonte - MG, 30840-490",-19.8886426,-43.9960496
Comida & Prosa,"Av. Francisco Sá, 306 , Belo Horizonte - MG, 30411-145",-19.9356623,-43.9595796
Companhia do Dino,"Avenida Joaquim Clemente, 682 , Floramar, Belo Horizonte - MG, 31840-340",-19.8396478,-43.9332774
Conectados Bar,"Av. Francisco Sá, 280 , Prado, Belo Horizonte - MG, 30411-145",-19.9223318,-43.9589173
COSMOS,"R. Vicente Risola, 1305 , Santa Inês, Belo Horizonte - MG, 31080-160",-19.8916887,-43.9083866
Deck Boi na Brasa,"R. Desembargador José Satyro, 302  , Manacás, Belo Horizonte - MG, 30840-470",,
Dona Dora,"R. Rio de Janeiro, 1205 , Centro, Belo Horizonte - MG, 30160-041",-19.925814,-43.9404836
Dona Ju Gastro Bar,"Rua dos Borges, 1520  , Jardim Vitória, Belo Horizonte - MG, 31975-270",-19.8412161,-43.8765709
Dona Suica,"Av. João Samaha, 390 , São João Batista (Venda Nova), Belo Horizonte - MG, 31520-100",-19.8198987,-43.968497
Empório Laís,"Rua Olavo Andrade, 195 , Belo Horizonte - MG, 31130-270",-19.8900723,-43.9477992
Espetinho do Boi,"R. São Paulo da Cruz, 357 , Barreiro, Belo Horizonte - MG, 30642-060",-19.9810622,-44.0133834
Espetinho do Tilias,"Praça Manoel Batista Baía, 235  , Belo Horizonte - MG, 31660-190",-19.8000554,-43.9839421
Espetinho Rei e Família,"Av. Guarapari, 1281 ,  Belo Horizonte - MG, 31560-300",-19.8388542,-43.977372
Espetinho São Pedro QUIÓ,"Rua Cristina, 870 , Belo Horizonte - MG, 30330-130",-19.9472962,-43.9352098
Espettinho.com,"R. Eli Seabra Filho, 510 , Buritis, Belo Horizonte - MG, 30575-740",-19.9756214,-43.9751097
Galpão Flor do Campo,"Rua Coronel Otávio Diniz, 449 , Belo Horizonte - MG, 30270-360",-19.9206937,-43.9068762
Garagge Vintage,"Av. Doutor Cristiano Guimarães, 1258 , Planalto, Belo Horizonte - MG, 31720-300",-19.8315762,-43.9547337
Geraldin da Cida,"Rua Contria, 1459 , Grajaú, Belo Horizonte - MG, 30431-245",-19.936342,-43.968268
Golden Grill,"R. Amílcar Cabral, 515 , Milionários, Belo Horizonte - MG, 30620-250",-19.9818967,-44.0047592
Graffica Bar,"Av. Augusto de Lima, 233, Belo Horizonte - MG, 30160-906",-19.9248113,-43.9375775
Iracema bar,"R. Almandina, 56 , Santa Teresa, Belo Horizonte - MG, 31010-080",,
Ivo Grill,"Rua Professor Tristão da Cunha, 183 , Planalto, Belo Horizonte - MG, 31720-520",-19.8369086,-43.9483954
Já Tô Inno,"R. Benjamim Dias, 379 , Barreiro, Belo Horizonte - MG, 30640-520",,
Juzé Bar,"R. Carlos Sá, 180, Jardim Atlântico, Belo Horizonte - MG, 31550-200",-19.8414871,-43.9890445
Köbes Emporium Bar,"R. Professor Raimundo Nonato, 31 - A , Santa Tereza, Belo Horizonte - MG, 31010-520",-19.9119307,-43.9157622
Koqueiros Bar,"Av. Silviano Brandão, 1293 , Sagrada Família, Belo Horizonte - MG, 31030-525",-19.9109127,-43.9260469
Leo da Quadra,"R. Oliveira Lisboa, 107 , Barreiro, Belo Horizonte - MG, 30640-470",-19.9761639,-44.0131047
